pid,event,time,fac_heduc,fac_heblack,fac_mixed
0,0,10546,12-15,No,No
1,0,34943,<12,No,No
2,1,2834,<12,No,No
3,1,17532,<12,No,No
4,0,1418,12-15,No,No
5,0,48033,<12,No,No
6,0,16706,16+,No,No
7,0,24999,<12,No,No
8,0,24999,<12,No,No
9,0,3869,<12,Yes,No
10,0,7732,12-15,Yes,No
11,1,5.2105,12-15,No,No
12,0,15444,12-15,No,No
13,0,4085,16+,No,No
14,0,17333,<12,No,No
15,0,16331,12-15,No,No
16,0,35335,12-15,No,No
17,0,37.67,<12,No,No
18,1,19.1865,12-15,No,No
19,0,22697,12-15,No,No
20,0,50776,<12,No,No
21,0,37495,<12,No,No
22,0,30738,<12,No,No
23,0,48654,<12,No,No
24,0,33024,<12,No,No
25,0,36668,<12,No,No
26,0,27992,16+,No,No
27,0,27789,16+,No,No
28,1,3.2525,12-15,No,No
29,1,5.67,12-15,No,No
30,0,17999,<12,No,No
31,1,7.5975,<12,No,No
32,0,1791,<12,No,No
33,0,2475,<12,No,No
34,0,35959,12-15,No,No
35,0,13136,12-15,No,No
36,0,5717,12-15,No,No
37,0,5717,12-15,No,No
38,0,26278,12-15,No,No
39,1,4331,12-15,No,No
40,0,8893,<12,No,No
41,0,15743,12-15,No,No
42,1,4671,<12,No,No
43,0,48356,<12,No,No
44,0,39332,<12,No,No
45,0,39332,<12,No,No
46,0,61525,12-15,No,No
47,0,12999,12-15,No,No
48,0,14817,12-15,No,No
49,1,33755,<12,No,No
50,0,56999,<12,No,No
51,0,3606,12-15,No,No
52,0,3606,<12,No,No
53,0,16999,<12,Yes,No
54,1,42015,<12,Yes,No
55,0,37837,12-15,No,No
56,0,18.16,12-15,Yes,No
57,0,18018,12-15,No,No
58,1,13667,12-15,No,No
59,1,3584,12-15,No,No
60,1,2502,<12,No,No
61,1,14.7135,16+,No,No
62,0,35932,<12,No,No
63,0,13864,16+,No,No
64,1,25.8015,12-15,No,No
65,1,14.3495,<12,No,No
66,0,57506,<12,No,No
67,1,7915,12-15,No,No
68,0,7162,<12,No,No
69,0,41971,16+,No,No
70,0,12991,16+,No,No
71,1,18.3355,12-15,No,No
72,0,18809,12-15,No,No
73,0,1864,<12,No,No
74,0,53084,12-15,No,No
75,1,17.2895,12-15,No,No
76,1,32167,12-15,No,No
77,0,18338,12-15,No,No
78,0,23469,12-15,No,No
79,0,34762,16+,No,No
80,1,4.4325,12-15,No,No
81,0,19081,12-15,No,No
82,1,35.8465,<12,No,No
83,1,7247,12-15,No,No
84,0,28151,12-15,No,No
85,1,15.9975,12-15,No,No
86,1,2.2125,<12,No,No
87,0,8789,16+,No,No
88,0,8789,16+,No,No
89,0,17999,16+,No,No
90,0,14084,16+,No,No
91,0,27009,<12,No,No
92,0,42313,<12,Yes,No
93,0,9002,<12,No,No
94,0,35001,<12,No,No
95,0,35001,<12,No,No
96,1,5.0025,<12,No,No
97,0,37248,12-15,No,No
98,0,34653,<12,No,No
99,0,16605,12-15,No,No
100,0,44841,<12,No,No
101,0,11671,12-15,No,No
102,0,20504,12-15,No,No
103,0,6913,16+,No,No
104,0,22404,<12,No,No
105,0,31485,<12,No,No
106,1,3.4965,<12,No,No
107,0,24.0,<12,No,No
108,0,33851,<12,No,No
109,0,14576,12-15,No,No
110,1,2.0015,<12,No,No
111,0,52663,12-15,No,No
112,1,2.6095,<12,No,No
113,0,22719,16+,No,No
114,1,4.5805,12-15,No,No
115,0,43751,<12,No,No
116,0,42062,<12,No,No
117,0,29.07,16+,No,No
118,0,29.07,16+,No,No
119,0,56052,12-15,No,No
120,1,17081,12-15,No,No
121,0,27168,12-15,No,No
122,0,6001,<12,No,No
123,1,5919,12-15,No,No
124,0,20.0,12-15,No,No
125,1,10456,16+,No,No
126,0,26971,<12,No,No
127,0,53.84,<12,No,No
128,1,11581,12-15,Yes,No
129,0,22976,16+,Yes,No
130,0,32999,<12,No,No
131,1,8.3615,12-15,No,No
132,1,17084,12-15,No,No
133,0,8003,12-15,No,No
134,0,3775,12-15,No,No
135,0,3565,12-15,No,No
136,0,4977,<12,No,No
137,0,5246,12-15,No,No
138,0,1257,12-15,No,No
139,0,0.6,12-15,No,No
140,0,40501,<12,No,No
141,0,49002,12-15,No,No
142,1,6.0015,<12,No,No
143,0,1878,12-15,No,No
144,0,7003,12-15,Yes,No
145,0,7003,12-15,Yes,No
146,0,41199,16+,No,No
147,0,47546,12-15,No,No
148,0,21467,12-15,No,No
149,1,21002,16+,No,No
150,0,21467,12-15,No,No
151,0,24832,<12,No,No
152,0,41999,<12,No,No
153,0,16972,<12,No,No
154,0,14867,12-15,Yes,No
155,1,7.1675,12-15,Yes,No
156,1,21498,<12,Yes,No
